proposal_selectable_id,model_key,section_family,orderable_rpo,source_ref_id,source_sheet,source_row,source_field,raw_value,source_detail_raw
prop_grand_sport_exterior_17a,grand_sport,exterior,17A,staging_variant_matrix_rows.csv:Exterior 2:76:185ae7da09,Exterior 2,76,variant_matrix_row,"Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.","Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic."
prop_grand_sport_exterior_17a,grand_sport,exterior,17A,staging_variant_matrix_rows.csv:Exterior 2:76:32613c32fb,Exterior 2,76,variant_matrix_row,"Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.","Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic."
prop_grand_sport_exterior_17a,grand_sport,exterior,17A,staging_variant_matrix_rows.csv:Exterior 2:76:7a9781d6be,Exterior 2,76,variant_matrix_row,"Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.","Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic."
prop_grand_sport_exterior_20a,grand_sport,exterior,20A,staging_variant_matrix_rows.csv:Exterior 2:72:121a5bb85a,Exterior 2,72,variant_matrix_row,"Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.","Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic."
prop_grand_sport_exterior_20a,grand_sport,exterior,20A,staging_variant_matrix_rows.csv:Exterior 2:72:1f939aa737,Exterior 2,72,variant_matrix_row,"Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.","Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic."
prop_grand_sport_exterior_20a,grand_sport,exterior,20A,staging_variant_matrix_rows.csv:Exterior 2:72:4e7341b0ed,Exterior 2,72,variant_matrix_row,"Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.","Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic."
prop_grand_sport_exterior_55a,grand_sport,exterior,55A,staging_variant_matrix_rows.csv:Exterior 2:77:08664a8faf,Exterior 2,77,variant_matrix_row,"Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.","Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic."
prop_grand_sport_exterior_55a,grand_sport,exterior,55A,staging_variant_matrix_rows.csv:Exterior 2:77:135cc0073d,Exterior 2,77,variant_matrix_row,"Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.","Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic."
prop_grand_sport_exterior_55a,grand_sport,exterior,55A,staging_variant_matrix_rows.csv:Exterior 2:77:6c889d25c8,Exterior 2,77,variant_matrix_row,"Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.","Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic."
prop_grand_sport_exterior_5jr,grand_sport,exterior,5JR,staging_variant_matrix_rows.csv:Exterior 2:38:19d50ece9d,Exterior 2,38,variant_matrix_row,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory"
prop_grand_sport_exterior_5jr,grand_sport,exterior,5JR,staging_variant_matrix_rows.csv:Exterior 2:38:240735fc17,Exterior 2,38,variant_matrix_row,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory"
prop_grand_sport_exterior_5jr,grand_sport,exterior,5JR,staging_variant_matrix_rows.csv:Exterior 2:38:3ce0d916db,Exterior 2,38,variant_matrix_row,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zb,grand_sport,exterior,5ZB,staging_variant_matrix_rows.csv:Exterior 2:50:13dcf05787,Exterior 2,50,variant_matrix_row,"LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory","LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zb,grand_sport,exterior,5ZB,staging_variant_matrix_rows.csv:Exterior 2:50:67d6b3ede0,Exterior 2,50,variant_matrix_row,"LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory","LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zb,grand_sport,exterior,5ZB,staging_variant_matrix_rows.csv:Exterior 2:50:788f1dae91,Exterior 2,50,variant_matrix_row,"LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory","LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zc,grand_sport,exterior,5ZC,staging_variant_matrix_rows.csv:Exterior 2:49:0e14b26b6d,Exterior 2,49,variant_matrix_row,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory","LPO, Jake logo wheel center caps. Genuine Corvette Accessory"
prop_grand_sport_exterior_5zc,grand_sport,exterior,5ZC,staging_variant_matrix_rows.csv:Exterior 2:49:307a64f601,Exterior 2,49,variant_matrix_row,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory","LPO, Jake logo wheel center caps. Genuine Corvette Accessory"
prop_grand_sport_exterior_5zc,grand_sport,exterior,5ZC,staging_variant_matrix_rows.csv:Exterior 2:49:5ff6160537,Exterior 2,49,variant_matrix_row,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory","LPO, Jake logo wheel center caps. Genuine Corvette Accessory"
prop_grand_sport_exterior_5zd,grand_sport,exterior,5ZD,staging_variant_matrix_rows.csv:Exterior 2:48:0e2ff2214f,Exterior 2,48,variant_matrix_row,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory","LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zd,grand_sport,exterior,5ZD,staging_variant_matrix_rows.csv:Exterior 2:48:51e598448d,Exterior 2,48,variant_matrix_row,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory","LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zd,grand_sport,exterior,5ZD,staging_variant_matrix_rows.csv:Exterior 2:48:8dfb379345,Exterior 2,48,variant_matrix_row,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory","LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory"
prop_grand_sport_exterior_5zv,grand_sport,exterior,5ZV,staging_variant_matrix_rows.csv:Exterior 2:44:39701b430c,Exterior 2,44,variant_matrix_row,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory
1. Not available with (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (FEY) Z52 Track Performance Package.","LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory
1. Not available with (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (FEY) Z52 Track Performance Package."
prop_grand_sport_exterior_5zv,grand_sport,exterior,5ZV,staging_variant_matrix_rows.csv:Exterior 2:44:3ec1b8fc91,Exterior 2,44,variant_matrix_row,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory
1. Not available with (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (FEY) Z52 Track Performance Package.","LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory
1. Not available with (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (FEY) Z52 Track Performance Package."
prop_grand_sport_exterior_5zv,grand_sport,exterior,5ZV,staging_variant_matrix_rows.csv:Exterior 2:44:7970889bcb,Exterior 2,44,variant_matrix_row,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory
1. Not available with (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (FEY) Z52 Track Performance Package.","LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory
1. Not available with (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (FEY) Z52 Track Performance Package."
prop_grand_sport_exterior_75a,grand_sport,exterior,75A,staging_variant_matrix_rows.csv:Exterior 2:75:21dcdb10e4,Exterior 2,75,variant_matrix_row,"Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat","Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat"
prop_grand_sport_exterior_75a,grand_sport,exterior,75A,staging_variant_matrix_rows.csv:Exterior 2:75:43e3681ac8,Exterior 2,75,variant_matrix_row,"Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat","Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat"
prop_grand_sport_exterior_75a,grand_sport,exterior,75A,staging_variant_matrix_rows.csv:Exterior 2:75:5d8ca100ba,Exterior 2,75,variant_matrix_row,"Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat","Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat"
prop_grand_sport_exterior_97a,grand_sport,exterior,97A,staging_variant_matrix_rows.csv:Exterior 2:73:5d58b575b3,Exterior 2,73,variant_matrix_row,"Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics.","Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics."
prop_grand_sport_exterior_97a,grand_sport,exterior,97A,staging_variant_matrix_rows.csv:Exterior 2:73:6608796d66,Exterior 2,73,variant_matrix_row,"Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics.","Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics."
prop_grand_sport_exterior_97a,grand_sport,exterior,97A,staging_variant_matrix_rows.csv:Exterior 2:73:74dcbf93b0,Exterior 2,73,variant_matrix_row,"Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics.","Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics."
prop_grand_sport_exterior_c2z,grand_sport,exterior,C2Z,staging_variant_matrix_rows.csv:Exterior 2:61:2f2096cdab,Exterior 2,61,variant_matrix_row,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable"
prop_grand_sport_exterior_c2z,grand_sport,exterior,C2Z,staging_variant_matrix_rows.csv:Exterior 2:61:665b75f379,Exterior 2,61,variant_matrix_row,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable"
prop_grand_sport_exterior_c2z,grand_sport,exterior,C2Z,staging_variant_matrix_rows.csv:Exterior 2:61:6938e87be1,Exterior 2,61,variant_matrix_row,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable"
prop_grand_sport_exterior_cc3,grand_sport,exterior,CC3,staging_variant_matrix_rows.csv:Exterior 2:60:00b600542e,Exterior 2,60,variant_matrix_row,"Roof panel, transparent, removable","Roof panel, transparent, removable"
prop_grand_sport_exterior_cc3,grand_sport,exterior,CC3,staging_variant_matrix_rows.csv:Exterior 2:60:7fc24c4776,Exterior 2,60,variant_matrix_row,"Roof panel, transparent, removable","Roof panel, transparent, removable"
prop_grand_sport_exterior_cc3,grand_sport,exterior,CC3,staging_variant_matrix_rows.csv:Exterior 2:60:81703a7445,Exterior 2,60,variant_matrix_row,"Roof panel, transparent, removable","Roof panel, transparent, removable"
prop_grand_sport_exterior_cf8,grand_sport,exterior,CF8,staging_variant_matrix_rows.csv:Exterior 2:62:174414a4d5,Exterior 2,62,variant_matrix_row,"Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).","Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY)."
prop_grand_sport_exterior_cf8,grand_sport,exterior,CF8,staging_variant_matrix_rows.csv:Exterior 2:62:4948f60b02,Exterior 2,62,variant_matrix_row,"Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).","Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY)."
prop_grand_sport_exterior_cf8,grand_sport,exterior,CF8,staging_variant_matrix_rows.csv:Exterior 2:62:aef273b7ef,Exterior 2,62,variant_matrix_row,"Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).","Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY)."
prop_grand_sport_exterior_cfl,grand_sport,exterior,CFL,staging_variant_matrix_rows.csv:Exterior 2:22:06f15deb8d,Exterior 2,22,variant_matrix_row,"NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects.","NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects."
prop_grand_sport_exterior_cfl,grand_sport,exterior,CFL,staging_variant_matrix_rows.csv:Exterior 2:22:70adc3c577,Exterior 2,22,variant_matrix_row,"NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects.","NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects."
prop_grand_sport_exterior_cfl,grand_sport,exterior,CFL,staging_variant_matrix_rows.csv:Exterior 2:22:85110c09f5,Exterior 2,22,variant_matrix_row,"NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects.","NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects."
prop_grand_sport_exterior_cfv,grand_sport,exterior,CFV,staging_variant_matrix_rows.csv:Exterior 2:21:2c3005f04b,Exterior 2,21,variant_matrix_row,"Ground effects, visible carbon fiber
1. Not available at this time.","Ground effects, visible carbon fiber
1. Not available at this time."
prop_grand_sport_exterior_cfv,grand_sport,exterior,CFV,staging_variant_matrix_rows.csv:Exterior 2:21:33bfc2b0b0,Exterior 2,21,variant_matrix_row,"Ground effects, visible carbon fiber
1. Not available at this time.","Ground effects, visible carbon fiber
1. Not available at this time."
prop_grand_sport_exterior_cfv,grand_sport,exterior,CFV,staging_variant_matrix_rows.csv:Exterior 2:21:8af3460b7f,Exterior 2,21,variant_matrix_row,"Ground effects, visible carbon fiber
1. Not available at this time.","Ground effects, visible carbon fiber
1. Not available at this time."
prop_grand_sport_exterior_cfz,grand_sport,exterior,CFZ,staging_variant_matrix_rows.csv:Exterior 2:20:4954ebf330,Exterior 2,20,variant_matrix_row,"Ground effects, carbon fiber, Carbon Flash-painted
1. Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package.","Ground effects, carbon fiber, Carbon Flash-painted
1. Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package."
prop_grand_sport_exterior_cfz,grand_sport,exterior,CFZ,staging_variant_matrix_rows.csv:Exterior 2:20:7c953c878c,Exterior 2,20,variant_matrix_row,"Ground effects, carbon fiber, Carbon Flash-painted
1. Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package.","Ground effects, carbon fiber, Carbon Flash-painted
1. Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package."
prop_grand_sport_exterior_cfz,grand_sport,exterior,CFZ,staging_variant_matrix_rows.csv:Exterior 2:20:8ba3dfeb1f,Exterior 2,20,variant_matrix_row,"Ground effects, carbon fiber, Carbon Flash-painted
1. Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package.","Ground effects, carbon fiber, Carbon Flash-painted
1. Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package."
prop_grand_sport_exterior_d84,grand_sport,exterior,D84,staging_variant_matrix_rows.csv:Exterior 2:11:1953b695f7,Exterior 2,11,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.","Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
prop_grand_sport_exterior_d84,grand_sport,exterior,D84,staging_variant_matrix_rows.csv:Exterior 2:11:4214eb85e7,Exterior 2,11,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.","Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
prop_grand_sport_exterior_d84,grand_sport,exterior,D84,staging_variant_matrix_rows.csv:Exterior 2:11:6c22587316,Exterior 2,11,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.","Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
prop_grand_sport_exterior_d86,grand_sport,exterior,D86,staging_variant_matrix_rows.csv:Exterior 2:12:163de7e487,Exterior 2,12,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.","Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
prop_grand_sport_exterior_d86,grand_sport,exterior,D86,staging_variant_matrix_rows.csv:Exterior 2:12:b68b131be6,Exterior 2,12,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.","Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
prop_grand_sport_exterior_d86,grand_sport,exterior,D86,staging_variant_matrix_rows.csv:Exterior 2:12:cb49013cc2,Exterior 2,12,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.","Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
prop_grand_sport_exterior_dmu,grand_sport,exterior,DMU,staging_variant_matrix_rows.csv:Exterior 2:68:1b71110646,Exterior 2,68,variant_matrix_row,"Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
prop_grand_sport_exterior_dmu,grand_sport,exterior,DMU,staging_variant_matrix_rows.csv:Exterior 2:68:1c83ea4160,Exterior 2,68,variant_matrix_row,"Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
prop_grand_sport_exterior_dmu,grand_sport,exterior,DMU,staging_variant_matrix_rows.csv:Exterior 2:68:21f66750cb,Exterior 2,68,variant_matrix_row,"Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
prop_grand_sport_exterior_dmv,grand_sport,exterior,DMV,staging_variant_matrix_rows.csv:Exterior 2:70:0033617129,Exterior 2,70,variant_matrix_row,"Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
prop_grand_sport_exterior_dmv,grand_sport,exterior,DMV,staging_variant_matrix_rows.csv:Exterior 2:70:0593772aab,Exterior 2,70,variant_matrix_row,"Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
prop_grand_sport_exterior_dmv,grand_sport,exterior,DMV,staging_variant_matrix_rows.csv:Exterior 2:70:09cb43ca0e,Exterior 2,70,variant_matrix_row,"Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
prop_grand_sport_exterior_dmw,grand_sport,exterior,DMW,staging_variant_matrix_rows.csv:Exterior 2:71:15b91f3846,Exterior 2,71,variant_matrix_row,"Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe."
